Product ID,Display Name,Available,Part Number,Category,Product URL,Discount Price,List Price,Brand Name,Brand URL,Brand Logo URL,Primary Image Index
70006,"Creatine, 16 oz (450 g)",True,THR-00635,Sports,https://www.iherb.com/pr/thorne-creatine-16-oz-450-g/70006,$43.00,$43.00,Thorne,https://www.iherb.com/c/thorne,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/THR/1663708953.png",61
115793,"Platinum MultiVitamin, 180 Tablets",True,MSC-61057,Sports,https://www.iherb.com/pr/muscletech-platinum-multivitamin-180-tablets/115793,$23.72,$23.72,MuscleTech,https://www.iherb.com/c/muscletech,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/MSC/1689796937.png",8
120573,"Sport, Creatine, 750 mg, 240 Veggie Capsules",True,CGN-02283,Sports,https://www.iherb.com/pr/california-gold-nutrition-sport-creatine-750-mg-240-veggie-capsules/120573,$14.33,$19.11,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",42
67652,"Essentials, Caffeine, 200 mg, 100 Tablets",True,AMX-12622,Sports,https://www.iherb.com/pr/allmax-essentials-caffeine-200-mg-100-tablets/67652,$6.92,$6.92,ALLMAX,https://www.iherb.com/c/allmax,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/AMX/1663717618.png",34
99738,"Sport, Organic MCT Oil, Unflavored, 12 fl oz (355 ml)",True,CGN-01786,Supplements,https://www.iherb.com/pr/california-gold-nutrition-sport-organic-mct-oil-unflavored-12-fl-oz-355-ml/99738,$11.02,$12.97,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",65
27509,"Gold Standard® 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",True,OPN-02866,Sports,https://www.iherb.com/pr/optimum-nutrition-gold-standard-100-whey-double-rich-chocolate-5-lbs-2-27-kg/27509,$96.28,$96.28,Optimum Nutrition,https://www.iherb.com/c/optimum-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/OPN/1654297884.png",68
113870,"Omega-3 Fish Oil, Triple Strength , 30 Softgels",True,SRE-09152,Sports,https://www.iherb.com/pr/sports-research-omega-3-fish-oil-triple-strength-30-softgels/113870,$17.97,$17.97,Sports Research,https://www.iherb.com/c/sports-research,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/SRE/1688077568.png",24
84571,"Sport, Whey Protein Isolate, Dark Chocolate, 5 lb (2.27 kg)",True,CGN-01203,Sports,https://www.iherb.com/pr/california-gold-nutrition-sport-whey-protein-isolate-dark-chocolate-5-lb-2-27-kg/84571,$95.91,$95.91,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",35
47793,"Creatine Capsules, 120 Capsules",True,LEX-15291,Sports,https://www.iherb.com/pr/life-extension-creatine-capsules-120-capsules/47793,$13.50,$13.50,Life Extension,https://www.iherb.com/c/life-extension,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/LEX/1647036401.png",157
2507,"L-Carnitine, 1000 mg, 100 Tablets",True,NOW-00068,Supplements,https://www.iherb.com/pr/now-foods-l-carnitine-1000-mg-100-tablets/2507,$29.39,$29.39,NOW Foods,https://www.iherb.com/c/now-foods,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/NOW/1734379942.png",8
102330,"L-Arginine, 500 mg, 100 Veg Capsules",True,NOW-00030,Supplements,https://www.iherb.com/pr/now-foods-l-arginine-500-mg-100-veg-capsules/102330,$7.95,$7.95,NOW Foods,https://www.iherb.com/c/now-foods,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/NOW/1734379942.png",16
74272,"Platinum 100% Glutamine, Unflavored, 10.58 oz (300 g)",True,MSC-70570,Supplements,https://www.iherb.com/pr/muscletech-platinum-100-glutamine-unflavored-10-58-oz-300-g/74272,$14.99,$14.99,MuscleTech,https://www.iherb.com/c/muscletech,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/MSC/1689796937.png",54
48621,"3-in-1 Carb Blocker®, Maximum Strength, 150 Liquid Soft-Gels",True,IRW-58135,Supplements,https://www.iherb.com/pr/irwin-naturals-3-in-1-carb-blocker-maximum-strength-150-liquid-soft-gels/48621,$34.99,$34.99,Irwin Naturals,https://www.iherb.com/c/irwin-naturals,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/IRW/1652231840.png",40
99739,"Sport, Organic MCT Oil, 32 fl oz (946 ml)",True,CGN-01787,Supplements,https://www.iherb.com/pr/california-gold-nutrition-sport-organic-mct-oil-32-fl-oz-946-ml/99739,$23.23,$27.33,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",59
71031,"Sport, Whey Protein Isolate, Unflavored, 1 lb (454 g)",True,CGN-01064,Sports,https://www.iherb.com/pr/california-gold-nutrition-sport-whey-protein-isolate-unflavored-1-lb-454-g/71031,$21.41,$28.55,California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/CGN/1729266818.png",114
622,"L-Glutamine, 500 mg, 120 Veg Capsules",True,NOW-00092,Supplements,https://www.iherb.com/pr/now-foods-l-glutamine-500-mg-120-veg-capsules/622,$9.79,$9.79,NOW Foods,https://www.iherb.com/c/now-foods,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/NOW/1734379942.png",42
47798,"Glutathione, Cysteine & C, 100 Capsules",True,LEX-15411,Supplements,https://www.iherb.com/pr/life-extension-glutathione-cysteine-c-100-capsules/47798,$16.50,$16.50,Life Extension,https://www.iherb.com/c/life-extension,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/brand/logo/LEX/1647036401.png",145
